GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
HCCS	0.7083105277151271	0.7017659999999999	0.1538076768303301	NA	0.701766	NA	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
UGT1A6	2.1845904195495365	0.7018514129189456	0.15375482145950647	0.346009	0.969471	84.0	383.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
RNF112	2.1844000107318577	0.7018862964993388	0.15373323659165652	0.617102	0.543634	12.0	118.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
MOG	2.1841393976001977	0.7019340422170233	0.15370369477471454	0.347697	0.964982	5.0	50.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
EIF4EBP1	0.7077377692165416	0.701967	0.15368330390263057	NA	0.701967	NA	26.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
IFITM1	2.183927590245617	0.7019728468420825	0.1536796865806225	0.38286	0.876448	7.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PBK	2.183111879023262	0.7021222942128615	0.1535872367646355	0.56487	0.594285	12.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
NDUFA3	2.1829201201880957	0.7021574273077711	0.15356550589574844	0.623472	0.538478	7.0	37.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SLC25A38	2.182211256894866	0.7022873041440313	0.1534851826303148	0.367547	0.913747	8.0	65.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CDK17	2.181868885549735	0.702350034269762	0.15344639205181174	0.563469	0.596133	8.0	76.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
C11orf91	2.181847411199237	0.7023539688832893	0.15344395911086542	0.472123	0.71148	4.0	37.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SLC39A7	2.1814429395446595	0.7024280784010146	0.15339813655113566	0.792328	0.424034	7.0	88.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
KLHL18	2.1813962534248823	0.7024366325685565	0.15339284774612583	0.637313	0.527185	12.0	105.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
BBS2	2.181316618739231	0.7024512238482616	0.15338382651040067	0.369159	0.910164	22.0	186.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
ADORA2A-AS1	2.180937536662527	0.7025206828442694	0.15334088521233544	0.936747	0.358751	13.0	100.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
ADORA2A	2.180937536662527	0.7025206828442694	0.15334088521233544	0.936747	0.358751	13.0	100.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
IKBKE	2.180844988605438	0.7025376405387507	0.153330402183956	0.573689	0.585813	20.0	140.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
OPRPN	2.1798717346339274	0.7027159749970344	0.1532201734384465	0.900149	0.373536	3.0	50.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
FAM160A1	2.1798416139157957	0.7027214942895005	0.15321676240335683	0.422399	0.796032	29.0	205.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
LEAP2	2.179653569469523	0.7027559515345103	0.15319546773026646	0.921735	0.364828	5.0	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
KLHDC7B	2.179641694191038	0.7027581275682864	0.15319412297040183	0.347524	0.967636	9.0	136.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
KCNQ1OT1	0.7053886115465074	0.7027919999999999	0.15317319079602237	NA	0.702792	NA	5.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PCDH17	2.17908380024584	0.7028603576177677	0.15313095085517905	0.374901	0.897225	12.0	210.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CCDC80	2.178834871779838	0.7029059727238053	0.15310276638607787	0.679049	0.495417	29.0	163.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
