GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KCNMB2-AS1	2.702569050056657	0.6087651366188995	0.21555022714349295	0.420035	NA	0.616395	4.0	NA	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ATP11A	4.504286329481003	0.6087675564930315	0.21554850080302035	0.775598	0.618458497203979	0.21926	35.0	122.0	70.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
HGH1	4.504007701222167	0.6088047157649383	0.21552199220535695	0.308339	0.458143643157968	0.744624	7.0	20.0	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DFFB	4.50369086490519	0.6088469713603519	0.21549184996990645	0.456412	0.306060050851227	0.753134	13.0	29.0	27.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CD7	4.503333504713337	0.6088946324128308	0.21545785436354836	0.728309	0.193653730731254	0.746057	16.0	30.0	24.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
MAP3K8	4.503169672827429	0.60891648295472	0.21544226973034813	1.0	0.175938761899989	0.598119	4.0	25.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GPR183	4.502970451002385	0.6089430537834453	0.21542331916347454	0.285286	0.655288957786897	0.562962	8.0	36.0	15.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
COX15	4.502873077255047	0.6089560409277621	0.21541405690991478	0.757778	0.319008363958964	0.435381	18.0	35.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PKP3	4.502583581067904	0.6089946526631604	0.2153865207153643	0.593995	0.430387848554198	0.41175	49.0	106.0	106.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
L3MBTL3	4.502311889464352	0.6090308902685497	0.21536067923420008	0.360796	0.459628195103751	0.634844	14.0	36.0	38.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
BROX	4.501224392743389	0.6091759435930437	0.21525725532135354	0.440463	0.650251086424584	0.367774	7.0	15.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
