COHORT	VARIANT_GROUP	MAF	TEST	MIN_NUMVAR	LAMBDA	LAMBDA1000
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	3	1.0150677434553532	1.0011631326298842
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	4	1.011774728558988	1.0009089331150063
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	4	1.0145867336636543	1.0011260017757735
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	1	0.9697092627406528	0.9976617504144537
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	1	0.9776077410709069	0.9982714620079364
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	2	0.9795459306640645	0.998421077746045
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	2	0.9792012634669481	0.998394471661026
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	3	0.98579036073085	0.9989031074797758
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	3	0.9806218575354356	0.9985041323623629
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	4	0.9905522253005611	0.9992706927175079
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	4	0.9788107466707701	0.9983643262826223
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	CMCWald	1	0.3541412700461265	0.9501438708900982
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	SkatO	1	0.9339949324474015	0.9949048344209187
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	CMCWald	2	0.4986000307725127	0.9612951556708202
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	SkatO	2	1.043769150178892	1.0033786961469195
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	CMCWald	3	0.5892842944068498	0.9682953960427554
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	SkatO	3	1.1085458537780577	1.0083790399499437
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	CMCWald	4	0.6845805618996326	0.975651653371895
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.001	SkatO	4	1.1176672486974308	1.0090831528180861
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	CMCWald	1	0.36125138749389524	0.9506927261072257
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	SkatO	1	0.9222263582108305	0.9939963763799167
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	CMCWald	2	0.5010002276164045	0.9614804353894156
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	SkatO	2	1.027329235588454	1.0021096407539
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	CMCWald	3	0.592374015533453	0.9685339025895547
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	SkatO	3	1.093851803365404	1.0072447540131833
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	CMCWald	4	0.68193115070892	0.9754471359127923
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE	0.01	SkatO	4	1.1017923437410047	1.007857712525328
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	CMCWald	1	0.9851879318769786	0.9988566038570404
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	SkatO	1	0.9631003612884886	0.997151585840078
