GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_ALL_PVAL	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GPRC5C	15.96215094541913	0.0030703742033822996	2.512808691441258	0.177427861040066	0.00192682	80.0	166.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
C1orf56	15.915090105912524	0.0031352421936236678	2.5037289048200067	0.0008317640976287	0.420806	31.0	47.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SALL4	15.875498791012895	0.00319085751929591	2.4960925878356557	0.0011895860912496	0.300112	91.0	189.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RTEL1-TNFRSF6B	15.81415820202138	0.0032789476849179014	2.484265512373856	0.0050386151547188	0.0730614	193.0	540.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TMPRSS11B	15.768645513992972	0.003345849951783553	2.475493539337043	0.294828064115179	0.00127736	32.0	77.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DCAF12L2	15.766079588767639	0.0033496615209569237	2.474999075651948	0.173563157582078	0.00217261	9.0	39.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
UPP1	15.746760761908789	0.0033784962851337082	2.4712765542724733	0.014111340022213	0.0269815	62.0	102.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PNMA3	11.33143639830004	0.0034626599999999985	2.4605901499096827	NA	0.00346266	NA	46.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CSNK1D	15.690928168359033	0.0034632102941206428	2.460521136286738	0.0016015342127516	0.244468	36.0	110.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
WARS2	15.684536580177738	0.003473040470298205	2.459290155956503	0.0653460978131936	0.00601072	31.0	71.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NEBL	15.668322459605905	0.0034981008720338705	2.4561676712621305	0.0006509362865105	0.608315	114.0	290.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NUP58	15.659039264413902	0.003512528885031826	2.454380095682351	0.0096222733223516	0.0413433	44.0	110.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZC3H18	15.642200631809189	0.003538849158018733	2.4511379485905858	0.115698193527181	0.00346747	107.0	220.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PLEKHA4	15.633996390731626	0.0035517433059324252	2.449558429392732	0.257438255014491	0.00156476	96.0	184.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RP11-402G3.3	11.27711138878416	0.003558003541444304	2.4487936239786383	0.0035580035414443	NA	9.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
POU3F1	11.269444010908053	0.003571670000000002	2.447128674027508	NA	0.00357167	NA	71.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
KCNJ9	15.61273828340584	0.003585368876120278	2.445466155861668	0.0407202429080317	0.00999831	10.0	31.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PPA1	15.591461446777162	0.003619337558806642	2.441370910373292	0.000547855897478	0.751088	19.0	48.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
OR51B2	11.239553720897879	0.0036254500000000023	2.4406380800205554	NA	0.00362545	NA	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
BRD1	15.584214251785617	0.003630979892151099	2.439976156141363	0.294900609075425	0.00140041	103.0	212.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TMEM139	15.576603962893104	0.003643245168936765	2.438511602314575	0.0035873366517785	0.115561	29.0	47.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CREBZF	15.566723910194094	0.0036592293635785735	2.4366103677162902	0.361828379491671	0.0011514	29.0	67.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CRELD1	15.548086726210787	0.003689569043439852	2.4330243582274513	0.0034345815047575	0.122434	59.0	108.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
