GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SPAG7	2.8162077574990336	0.0048594230960936746	2.3134152865102915	NA	0.00485945	NA	48.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
GAREM2	2.814601414565107	0.004883776540782755	2.3112442155963526	0.0803371	0.0256338	15.0	178.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CIAO1	-2.8129803324906506	0.00490846532393889	2.3090542727503163	0.0667559	0.0319653	8.0	74.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
COG5	-2.809185414769287	0.004966703281658748	2.3039317846368377	0.0856322	0.0242034	17.0	213.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KIF3C	2.7998952216460453	0.005111919640171447	2.291415981943635	0.0529764	0.0429158	16.0	116.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CHRNB3	2.7963662117643198	0.005168080331028104	2.286670744422591	0.0538872	0.0426712	6.0	73.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SYTL1	-2.79126034306375	0.005250322288870397	2.2798140367879562	0.00707478	0.209797	14.0	108.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ADAM23	2.790368556082477	0.005264807287261746	2.278617521080691	0.0537088	0.0436956	14.0	120.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
LOC100128568	2.7877161262664214	0.005308103425924231	2.2750606236993542	0.0715953	0.0322956	17.0	118.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
L3MBTL2	2.7869956609103204	0.005319919132193001	2.2740949693420336	0.0377522	0.0623396	18.0	146.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
