GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CDC14A	1.5009881536178382	0.1333586256248851	0.8749788889344314	0.0237047	0.889316	11.0	106.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
PRPF18	1.5008641974273438	0.1333906900497751	0.8748744807725811	0.17063	0.451833	4.0	37.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ANXA5	1.5008429855693752	0.13339617763472708	0.8748566146168393	0.3072	0.270726	10.0	61.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
IL11	-1.500507472883567	0.13348299922692447	0.8745740437533124	0.122479	0.563544	6.0	45.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
TIMP3	-1.5004464075655726	0.13349880597909905	0.8745226186365411	0.410459	0.193991	7.0	41.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
PARP6	1.5003744412940254	0.13351743630141333	0.8744620152356305	0.310118	0.268349	6.0	65.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
DSE	-1.4998959127375948	0.13364136690653045	0.8740590909736885	0.274721	0.303518	16.0	155.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
RASSF5	-1.4998530510930357	0.1336524716713197	0.8740230053078217	0.209341	0.386637	6.0	69.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
POLR1E	1.4991016075282981	0.13384727464486923	0.8733904673514942	0.0187281	0.817432	11.0	68.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
IPO8	-1.4988910599520937	0.1339018960197886	0.8732132734353253	0.105855	0.615217	10.0	123.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
PDE6G	-1.498808665765224	0.13392327585245115	0.8731439360888453	NA	0.133924	NA	25.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
