GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
OGG1	2.5461659725705714	0.8632656007198692	0.0638555644464123	NA	0.870663125609053	0.905782	NA	0.355004	NA	3.0	2.0	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CASQ2	0.29406249977075694	0.863267	0.063854860492558	NA	NA	NA	NA	0.863267	NA	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
POLR2A	2.5460838244553274	0.8632749193705473	0.06385087641445333	NA	NA	0.971974	0.903955	0.318657	NA	NA	3.0	2.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ADAM10	0.29372710028752924	0.8634117817924392	0.06378202942015845	NA	0.863411781792439	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CFAP43	3.9288568715783057	0.8634844888476422	0.06374545944959843	NA	0.913464843788993	0.789931	0.808097	0.2405	NA	13.0	4.0	5.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CCDC102A	2.5439442450853527	0.863517550202703	0.06372883136955651	NA	0.495360593494569	0.903165	NA	0.626471	NA	2.0	2.0	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LRRC42	5.391759990288111	0.8635203753605096	0.06372741049694249	0.674609	0.450283063048454	0.320557	0.796744	0.869826	3.0	6.0	6.0	5.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FUT8	0.2932551193080987	0.863615562805895	0.06367954005269352	NA	0.863615562805895	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
NPHP4	3.9271022674821694	0.863639894078764	0.06366730452898653	NA	0.311448888267472	0.534512	0.901267	0.935498	NA	17.0	7.0	8.0	26.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
DCDC1	1.2858961317225777	0.8637638782062107	0.06360496169594415	0.889374	0.591135135918446	NA	NA	NA	5.0	24.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TPTE2	3.9245859873472946	0.8638626353417407	0.0635553101321141	NA	0.888968983315346	0.598486	0.419728	0.62933	NA	7.0	10.0	5.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
OR14I1	0.2926007201210316	0.863898183701214	0.06353743907474091	NA	0.863898183701214	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SERPINB6	0.2925359794718623	0.863926148818446	0.06352338082139639	NA	0.863926148818446	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
WDR54	2.5395486499685678	0.8640155496288491	0.06347844148263827	NA	0.722171949998869	0.618387	NA	0.628989	NA	3.0	3.0	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FAM131A	0.29216009981700314	0.8640885302082542	0.06344175959141381	NA	0.864088530208254	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CYP2A13	0.292041121528858	0.864139935624336	0.06341592378441	NA	0.864139935624336	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
POM121L2	3.920998375667553	0.8641799547028315	0.06339581169166394	NA	0.597158571338535	0.922111	0.260444	0.9817	NA	6.0	2.0	2.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PYY	0.29185695504122117	0.864219512096495	0.0633759325397439	NA	0.864219512096495	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
