GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZNF644	2.295107218885754	0.021726980483903084	1.6630006257410508	NA	NA	0.0217276	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
TRPM2-AS	2.290809043008799	0.021974460398757948	1.6580817805872556	NA	NA	0.0219746	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
UNC5D	2.2902025713959375	0.022009576445862548	1.657388314965717	NA	0.0220095764458622	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
PLCH1	2.2867657973558106	0.022209496854976758	1.6534612800639674	NA	0.255982458602999	0.0359019	NA	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
VTI1B	2.286093588950732	0.02224878397675833	1.6526937207107186	NA	NA	0.0222484	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
OR6X1	2.2839341449028843	0.022375401556909195	1.6502291619389797	NA	0.0223754015569094	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
PML	2.28303557342112	0.022428273007032366	1.6492041661134906	NA	0.022428273007032	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
PLA2G6	2.2819548315493208	0.022492007103145393	1.6479717880091418	NA	0.0224920071031453	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
UBA6	2.2814031226406977	0.022524603435943022	1.6473428463909745	NA	0.28551317452597	0.0308987	NA	4.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
SELENOO	-2.2740117152863606	0.022965282151427315	1.6389282144718273	NA	NA	0.0229653	NA	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
VPS13B	2.272079769409107	0.023081692777741372	1.6367323438233434	0.188902	0.0575148999140471	NA	3.0	24.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CCDC74B	2.2710251994738493	0.02314545250863308	1.6355343240589073	NA	0.241595930949055	0.0412797	NA	8.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CD177	2.2636027848776514	0.023598556419639736	1.6271145630536197	NA	0.02359855641964	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
HNRNPCL2	2.2631440045393165	0.023626813686298327	1.6265948434020632	NA	NA	0.0236272	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CYB5R1	2.261025049998305	0.023757705917012546	1.6241954978526065	NA	NA	0.0237575	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ANXA8	2.260215559474819	0.02380787564140014	1.6232793546319786	NA	NA	0.0238081	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
OR8B4	2.2593926063145147	0.023858973919624667	1.622348237557004	NA	0.0238589739196252	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CDK5RAP2	2.2589763899166284	0.02388485356303487	1.6218774170124406	NA	0.0660701874106434	0.174867	NA	13.0	34.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
PDYN-AS1	2.2519075436037816	0.024328115328754677	1.613891534062418	NA	NA	0.024328	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
POMGNT1	2.250744017583292	0.024401755106492826	1.6125789357246982	0.500803	0.152319010615942	0.0728475	3.0	4.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
TCIRG1	2.2498713790673652	0.02445711125885204	1.611594840775958	0.302266	0.0315385302652142	NA	3.0	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ATP8B2	2.245567490489234	0.024731724760268133	1.6067455954160017	NA	0.0247317247602684	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
WTAPP1	2.2448336101275346	0.024778816236025847	1.605919445112571	0.024779	NA	NA	3.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
