GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
EVC	2.999145502623087	0.8089540714753647	0.09207613484141583	0.350317	0.80766848161467	0.78895	41.0	100.0	240.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MAGEB4	0.42400914149890906	0.808961	0.09207241521475565	NA	NA	0.808961	NA	NA	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
BOC	2.9969236734382525	0.8092328433823449	0.09192649934381385	0.388356	1.0	0.575435	52.0	129.0	251.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ESRRB	2.996516641057823	0.8092839023277838	0.09189909818368124	0.354101	0.851005393795828	0.741746	18.0	48.0	90.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TULP1	2.9963158577273017	0.8093090877036646	0.09188558290239936	0.36713	0.740398169212766	0.822381	21.0	74.0	99.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RACK1	2.9958250165697837	0.8093706530883782	0.09185254671099416	0.288771	0.928392657187398	0.834026	7.0	44.0	34.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ARHGAP42	2.995509033316533	0.8094102836595548	0.09183128214333167	0.845321	0.465315735645061	0.568544	17.0	40.0	129.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
STK31	2.994718983458603	0.8095093624025167	0.09177812403693565	0.88192	0.385955576068347	0.657262	26.0	61.0	158.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SECISBP2L	2.994573742353671	0.8095275754011144	0.09176835303714492	0.92494	0.266217681530862	0.908628	17.0	75.0	149.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PER3	2.99426804853578	0.8095659074582372	0.09174778918327513	0.881959	0.42125242708111	0.602299	39.0	139.0	280.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PTH1R	2.993901514508636	0.8096118658955744	0.09172313531750907	0.519635	0.68939062611923	0.624768	10.0	39.0	102.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PXDNL	2.993659524789601	0.8096422066006425	0.0917068601683358	0.600559	0.852328260946222	0.437293	51.0	146.0	284.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ANKRD20A4	0.42205384703892646	0.809752265206916	0.09164782841752243	NA	0.809752265206916	NA	NA	9.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
LY6L	2.991833592804011	0.8098711024007375	0.09158409713450152	0.441286	1.0	0.507705	5.0	9.0	28.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TMEM78	0.4215527118487771	0.8099551883065299	0.09153900829363779	NA	0.80995518830653	NA	NA	9.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ZSCAN4	2.9906673145278933	0.8100172682690051	0.09150572256085449	0.724846	0.796966778186215	0.38806	8.0	25.0	59.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RSPH4A	2.990545360251334	0.8100325507419359	0.09149752887003584	0.619667	1.0	0.361787	17.0	77.0	120.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SLC6A18	2.99033604077614	0.8100587804886501	0.09148346616376604	0.711662	0.556821789162206	0.565805	22.0	73.0	140.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ELMSAN1	0.4212277933867769	0.81008678369272	0.09146845314608014	NA	0.81008678369272	NA	NA	96.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CRYL1	2.9897718903302017	0.8101294693581915	0.09144556959712176	0.390594	0.625524932270947	0.917929	4.0	32.0	67.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SEC61B	2.989462663699885	0.8101682130455019	0.09142480036466105	0.567283	0.694954754148919	0.568971	4.0	6.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
C12orf42	2.988730755076991	0.810259907423479	0.09137564994334157	0.859654	0.746158054641063	0.349825	11.0	38.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
DRG2	2.9886791647142323	0.8102663702969211	0.0913721858955051	0.548742	0.77094238339957	0.530428	10.0	19.0	70.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
NEIL2	2.988204538637511	0.810325825426342	0.09134031972373394	0.49538	0.748821681556593	0.605066	19.0	49.0	83.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
YTHDF1	2.987808647985948	0.8103754139271482	0.09131374355812147	1.0	0.415770487531041	0.539948	11.0	43.0	88.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
