GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SAR1B	9.282384520490996	0.009646189999999997	2.015644188076701	NA	NA	NA	NA	0.00964619	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZBBX	9.271035258593669	0.009701084173091594	2.013179727168859	NA	0.0097010841730916	NA	NA	NA	NA	14.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ATP5MF-PTCD1	16.88796157055884	0.009703942686210335	2.01305177718024	NA	NA	0.0257685	0.0496145	0.168317	NA	NA	7.0	4.0	21.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PLPP1	9.249476801522066	0.009806220000000004	2.0084983676965864	NA	NA	NA	NA	0.00980622	NA	NA	NA	NA	9.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
LONP2	23.07516979878912	0.010472489081752908	1.9799500837465889	0.386792	0.0002006122129412	0.361429	0.504318	0.689808	4.0	11.0	7.0	4.0	19.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
NME3	13.163609568155206	0.010503428885533742	1.9786689006470959	NA	0.040921576827653	NA	NA	0.0338537	NA	5.0	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PDYN-AS1	13.132578282820525	0.010645836523303571	1.972820207106744	NA	NA	NA	0.0327574	0.0429524	NA	NA	NA	4.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
INCENP	9.073378891235793	0.010708800000000003	1.970259192340575	NA	NA	NA	NA	0.0107088	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
VWA5B2	9.021533554805307	0.010990030037512897	1.9590011205784863	NA	0.0109900300375129	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GTPBP10	13.054175298947182	0.011014095153975119	1.9580511758420418	NA	NA	NA	0.0377646	0.0387469	NA	NA	NA	4.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
AMER3	9.010183362040628	0.011052576828886494	1.9565364575353672	NA	0.0110525768288865	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TKTL2	8.998610346409093	0.011116718048953297	1.9540234091214892	NA	0.0111167180489533	NA	NA	NA	NA	9.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
