GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_CASE_PVAL	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZIC3	1.5613034135427712	0.8157296566173844	0.08845374822225728	0.88078090870281	0.520115	12.0	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GJA4	1.5611643344105048	0.8157545252735771	0.08844050835112946	0.865386774608528	0.529404	33.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PYCR2	1.561125006338483	0.8157615574143817	0.08843676456952675	0.714631684408989	0.641097	27.0	20.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
AP4S1	1.5609649178204692	0.8157901819861518	0.08842152571038711	0.533969606994731	0.858073	19.0	15.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GNB2	1.560842274950424	0.8158121106659294	0.08840985190401127	1.0	0.458213	20.0	13.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MYOT	1.5600253307110439	0.8159581715326263	0.08833210391547404	0.642931966870061	0.712984	44.0	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
UGT1A8	1.5597815492507787	0.8160017537848817	0.0883089078413863	0.874834383059724	0.524049	61.0	202.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TRIM27	1.5597022939773095	0.8160159223955774	0.08830136705364688	0.615017809688152	0.745465	21.0	17.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LGALSL	1.5591209005734843	0.8161198543131805	0.0882460566327692	0.637033671975374	0.719911	18.0	8.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NAV3	1.5584801111672526	0.8162343941705563	0.08818510904355055	0.721829655847237	0.635544	165.0	93.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ST3GAL6	1.5582190985542712	0.8162810466876453	0.08816028731110369	0.554754111930278	0.827059	44.0	34.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
OR4C11	1.557968108755041	0.8163259061327186	0.08813642093049344	0.718827191369027	0.638362	32.0	15.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RP11-514O12.4	0.40575928159251656	0.816376493937458	0.08810950848832882	0.816376493937458	NA	18.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LAMC2	1.5575903175034638	0.8163934258088898	0.08810050119557745	0.769300712430895	0.596592	134.0	73.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PCDHGA7	1.5575207522700967	0.816405858264247	0.08809388758812317	0.81594616713604	0.562506	100.0	593.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RBM39	1.5574373733464624	0.8164207592921797	0.088085960923851	0.702097985294834	0.653746	33.0	20.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
STARD8	0.4056012576545933	0.816441	0.08807519402620448	NA	0.816441	NA	34.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
