GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ELMOD1	-0.46343187162294674	0.6430548378785852	0.19175199010444233	NA	0.643054837878584	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FMN1	-0.463329857218395	0.6431279476301844	0.1917026173992797	NA	0.991188154134851	0.519444	NA	13.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TXNRD1	-0.46306970989809937	0.6433144007263694	0.1915767267187104	NA	0.64331440072637	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PDSS1	-0.46298305529169154	0.6433765129065232	0.1915347974926081	NA	0.643376512906524	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
GALNT13	-0.4629770466679253	0.6433808198527257	0.191531890210991	NA	0.596212600942254	0.900608	NA	2.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TEN1-CDK3	-0.4628800607754103	0.643450340427874	0.19148496501501047	0.691228	0.292891064887865	NA	2.0	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NUGGC	0.46286731472786735	0.6434594771697102	0.19147879824791017	NA	0.64345947716971	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZFP36	-0.462652867979894	0.6436132069889545	0.19137505272779926	NA	0.643613206988954	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NFS1	-0.4626200406318391	0.6436367411812045	0.1913591727196534	NA	0.643636741181205	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NCMAP	0.46248392965538665	0.6437343240578267	0.19129333357494874	NA	0.643734324057827	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FTMT	-0.4624577464909359	0.6437530964189542	0.1912806690118301	NA	0.643753096418953	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZSWIM5	-0.4624210429148774	0.6437794119090025	0.19126291618299787	NA	0.643779411909002	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FBXL4	0.46231568183873417	0.6438549554858903	0.19121195737131336	NA	0.735409723769854	0.321319	NA	8.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CCL11	0.46223198886705713	0.6439149657191054	0.19117148102110085	NA	0.643914965719106	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MC5R	-0.4621189468138751	0.6439960237611841	0.19111681410588283	NA	0.643996023761184	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF525	0.462099888466472	0.6440096901750453	0.19110759792296797	NA	0.644009690175046	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RPS16	0.46204183880546545	0.6440513173323534	0.19107952713343676	NA	0.644051317332354	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DDRGK1	0.4620216947841797	0.6440657627826204	0.19106978643604727	NA	0.644065762782621	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
C19orf35	0.46197403548815574	0.6440999402074823	0.1910467411601294	NA	0.644099940207482	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZMYND8	0.4618664215881032	0.6441771150338271	0.19099470794083526	NA	0.644177115033826	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RP11-449H3.3	0.46170201005440786	0.6442950294355306	0.190915219106933	NA	0.644295029435531	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RBM27	0.46170201005440786	0.6442950294355306	0.190915219106933	NA	0.644295029435531	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
COG6	-0.46169865609822164	0.6442974349544539	0.19091359764223662	NA	0.644297434954454	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
P2RX6	-0.46168578300450547	0.6443066678080793	0.19090737419878615	NA	0.644306667808079	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LRRC28	0.46148715753491093	0.6444491331278949	0.19081135615958034	NA	0.644449133127895	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
IFNA6	0.4612613804005582	0.6446110890025071	0.19070222775453227	NA	0.644611089002507	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
COL9A2	-0.46122782272647894	0.6446351622444043	0.1906860091677284	NA	0.644635162244404	NA	NA	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SYNPO2	0.4609764495320236	0.644815501480239	0.1905645305602754	NA	0.644815501480239	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ECSCR	0.4609146435353898	0.6448598453130333	0.19053466524270615	NA	NA	0.644859	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MAP4K4	0.4609030281862196	0.6448681790968909	0.19052905271622886	NA	0.644868179096891	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
HSF2BP	0.4608849648527586	0.644881139270898	0.19052032461383592	NA	0.644881139270897	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
KRT4	-0.46086041706570474	0.6448987521171856	0.19050846342417885	NA	0.644898752117186	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PPFIBP2	-0.46082141441020125	0.6449267366289579	0.19048961820961388	0.787671	0.791084187844613	0.791836	3.0	8.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ITGB7	0.46078881122153714	0.6449501298917653	0.19047386544248435	NA	0.644950129891766	NA	NA	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MAD2L2	0.46075824905635054	0.6449720590096267	0.19045909913337966	NA	0.644972059009626	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OXSM	0.46074949492035655	0.6449783403780327	0.19045486956976412	NA	0.644978340378033	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
AHSA2	0.4607485476180015	0.6449790200988397	0.19045441188177423	NA	0.64497902009884	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ADTRP	-0.4605346974963092	0.6451324722343108	0.19035109768547145	NA	0.645132472234312	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TSHR	-0.46052411337618415	0.6451400674592864	0.19034598471252304	0.28348	0.890980432498041	0.680376	2.0	6.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CLCN1	0.4602339697823243	0.6453482905726685	0.19020583598608395	NA	0.863817475116757	0.631688	NA	9.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CEP295	-0.4602036753933166	0.6453700331076437	0.19019120434602743	NA	0.645370033107644	NA	NA	24.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
